regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Brasil,,,76,,,,2021-01-01,53,210147125.0,7700578.0,24605,195411,462,6747065.0,733959.0,
Brasil,,,76,,,,2021-01-02,53,210147125.0,7716405.0,15827,195725,314,6756284.0,748883.0,
Brasil,,,76,,,,2021-01-03,1,210147125.0,7733746.0,17341,196018,293,6769420.0,751260.0,
Brasil,,,76,,,,2021-01-04,1,210147125.0,7753752.0,20006,196561,543,6813008.0,724720.0,
Brasil,,,76,,,,2021-01-05,1,210147125.0,7810400.0,56648,197732,1171,6875230.0,681961.0,
Brasil,,,76,,,,2021-01-06,1,210147125.0,7873830.0,63430,198974,1242,6963407.0,649261.0,
Brasil,,,76,,,,2021-01-07,1,210147125.0,7961673.0,87843,200498,1524,7036530.0,638326.0,
Brasil,,,76,,,,2021-01-08,1,210147125.0,8013708.0,52035,201460,962,7096931.0,664244.0,
Brasil,,,76,,,,2021-01-09,1,210147125.0,8075998.0,62290,202631,1171,7114474.0,697774.0,
Brasil,,,76,,,,2021-01-10,2,210147125.0,8105790.0,29792,203100,469,7144011.0,729356.0,
Brasil,,,76,,,,2021-01-11,2,210147125.0,8131612.0,25822,203580,480,7167651.0,735039.0,
Brasil,,,76,,,,2021-01-12,2,210147125.0,8195637.0,64025,204690,1110,7207483.0,720549.0,
Brasil,,,76,,,,2021-01-13,2,210147125.0,8256536.0,60899,205964,1274,7273707.0,717240.0,
Brasil,,,76,,,,2021-01-14,2,210147125.0,8324294.0,67758,207095,1131,7277195.0,713752.0,
Brasil,,,76,,,,2021-01-15,2,210147125.0,8393492.0,69198,208246,1151,7316944.0,733628.0,
Brasil,,,76,,,,2021-01-16,2,210147125.0,8455059.0,61567,209296,1050,7339703.0,777496.0,
Brasil,,,76,,,,2021-01-17,3,210147125.0,8488099.0,33040,209847,551,7361379.0,823867.0,
Brasil,,,76,,,,2021-01-18,3,210147125.0,8511770.0,23671,210299,452,7388784.0,856979.0,
Brasil,,,76,,,,2021-01-19,3,210147125.0,8573864.0,62094,211491,1192,7411654.0,866598.0,
Brasil,,,76,,,,2021-01-20,3,210147125.0,8638249.0,64385,212831,1340,7452047.0,849424.0,
Brasil,,,76,,,,2021-01-21,3,210147125.0,8697368.0,59119,214147,1316,7518846.0,843527.0,
Brasil,,,76,,,,2021-01-22,3,210147125.0,8753920.0,56552,215243,1096,7564622.0,860796.0,
Brasil,,,76,,,,2021-01-23,3,210147125.0,8816254.0,62334,216445,1202,7580741.0,902480.0,
Brasil,,,76,,,,2021-01-24,4,210147125.0,8844577.0,28323,217037,592,7594771.0,943906.0,
Brasil,,,76,,,,2021-01-25,4,210147125.0,8871393.0,26816,217664,627,7628438.0,971371.0,
Brasil,,,76,,,,2021-01-26,4,210147125.0,8933356.0,61963,218878,1214,7653770.0,973770.0,
Brasil,,,76,,,,2021-01-27,4,210147125.0,8996876.0,63520,220161,1283,7709602.0,944127.0,
Brasil,,,76,,,,2021-01-28,4,210147125.0,9058687.0,61811,221547,1386,7798655.0,915823.0,
Brasil,,,76,,,,2021-01-29,4,210147125.0,9118513.0,59826,222666,1119,7877337.0,899378.0,
Brasil,,,76,,,,2021-01-30,4,210147125.0,9176975.0,58462,223945,1279,7923794.0,913346.0,
Brasil,,,76,,,,2021-01-31,5,210147125.0,9204731.0,27756,224504,559,7960643.0,935204.0,
Brasil,,,76,,,,2021-02-01,5,210147125.0,9229322.0,24591,225099,595,7998246.0,954784.0,
Brasil,,,76,,,,2021-02-02,5,210147125.0,9283418.0,54096,226309,1210,8027042.0,953185.0,
Brasil,,,76,,,,2021-02-03,5,210147125.0,9339420.0,56002,227563,1254,8077967.0,926256.0,
Brasil,,,76,,,,2021-02-04,5,210147125.0,9396293.0,56873,228795,1232,8160929.0,896180.0,
Brasil,,,76,,,,2021-02-05,5,210147125.0,9447165.0,50872,230034,1239,8236864.0,874993.0,
Brasil,,,76,,,,2021-02-06,5,210147125.0,9497795.0,50630,231012,978,8291763.0,875735.0,
Brasil,,,76,,,,2021-02-07,6,210147125.0,9524640.0,26845,231534,522,8326798.0,890333.0,
Brasil,,,76,,,,2021-02-08,6,210147125.0,9548079.0,23439,232170,636,8363677.0,903106.0,
Brasil,,,76,,,,2021-02-09,6,210147125.0,9599565.0,51486,233520,1350,8397187.0,895919.0,
Brasil,,,76,,,,2021-02-10,6,210147125.0,9659167.0,59602,234850,1330,8447645.0,868264.0,
Brasil,,,76,,,,2021-02-11,6,210147125.0,9713909.0,54742,236201,1351,8523462.0,842583.0,
Brasil,,,76,,,,2021-02-12,6,210147125.0,9765455.0,51546,237489,1288,8596130.0,828187.0,
Brasil,,,76,,,,2021-02-13,6,210147125.0,9809754.0,44299,238532,1043,8643693.0,834015.0,
Brasil,,,76,,,,2021-02-14,7,210147125.0,9834513.0,24759,239245,713,8678327.0,849639.0,
Brasil,,,76,,,,2021-02-15,7,210147125.0,9866710.0,32197,239773,528,8710840.0,860382.0,
Brasil,,,76,,,,2021-02-16,7,210147125.0,9921981.0,55271,240940,1167,8745424.0,849844.0,
Brasil,,,76,,,,2021-02-17,7,210147125.0,9978747.0,56766,242090,1150,8805239.0,821698.0,
Brasil,,,76,,,,2021-02-18,7,210147125.0,10030626.0,51879,243457,1367,8883191.0,797850.0,
Brasil,,,76,,,,2021-02-19,7,210147125.0,10081676.0,51050,244765,1308,8950450.0,786207.0,
Brasil,,,76,,,,2021-02-20,7,210147125.0,10139148.0,57472,245977,1212,8995246.0,791923.0,
Brasil,,,76,,,,2021-02-21,8,210147125.0,10168174.0,29026,246504,527,9029159.0,807752.0,
Brasil,,,76,,,,2021-02-22,8,210147125.0,10195160.0,26986,247143,639,9067939.0,825232.0,
Brasil,,,76,,,,2021-02-23,8,210147125.0,10257875.0,62715,248529,1386,9095483.0,826187.0,
Brasil,,,76,,,,2021-02-24,8,210147125.0,10324463.0,66588,249957,1428,9139215.0,808802.0,
Brasil,,,76,,,,2021-02-25,8,210147125.0,10390461.0,65998,251498,1541,9215164.0,794182.0,
Brasil,,,76,,,,2021-02-26,8,210147125.0,10455630.0,65169,252835,1337,9281018.0,793488.0,
