regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Norte,RO,,11,,,,2022-01-01,52,1777225.0,284660.0,34,6737,3,,,
Norte,RO,,11,,,,2022-01-02,1,1777225.0,284692.0,32,6739,2,,,
Norte,RO,,11,,,,2022-01-03,1,1777225.0,284783.0,91,6742,3,,,
Norte,RO,,11,,,,2022-01-04,1,1777225.0,285037.0,254,6745,3,,,
Norte,RO,,11,,,,2022-01-05,1,1777225.0,285269.0,232,6748,3,,,
Norte,RO,,11,,,,2022-01-06,1,1777225.0,285660.0,391,6756,8,,,
Norte,RO,,11,,,,2022-01-07,1,1777225.0,286039.0,379,6761,5,,,
Norte,RO,,11,,,,2022-01-08,1,1777225.0,286280.0,241,6764,3,,,
Norte,RO,,11,,,,2022-01-09,2,1777225.0,286462.0,182,6763,-1,,,
Norte,RO,,11,,,,2022-01-10,2,1777225.0,286791.0,329,6769,6,,,
Norte,RO,,11,,,,2022-01-11,2,1777225.0,287377.0,586,6775,6,,,
Norte,RO,,11,,,,2022-01-12,2,1777225.0,288173.0,796,6778,3,,,
Norte,RO,,11,,,,2022-01-13,2,1777225.0,288595.0,422,6782,4,,,
Norte,RO,,11,,,,2022-01-14,2,1777225.0,289419.0,824,6787,5,,,
Norte,RO,,11,,,,2022-01-15,2,1777225.0,290050.0,631,6789,2,,,
Norte,RO,,11,,,,2022-01-16,3,1777225.0,290677.0,627,6790,1,,,
Norte,RO,,11,,,,2022-01-17,3,1777225.0,291441.0,764,6791,1,,,
Norte,RO,,11,,,,2022-01-18,3,1777225.0,293052.0,1611,6795,4,,,
Norte,RO,,11,,,,2022-01-19,3,1777225.0,294764.0,1712,6798,3,,,
Norte,RO,,11,,,,2022-01-20,3,1777225.0,296395.0,1631,6800,2,,,
Norte,RO,,11,,,,2022-01-21,3,1777225.0,298451.0,2056,6805,5,,,
Norte,RO,,11,,,,2022-01-22,3,1777225.0,300120.0,1669,6806,1,,,
Norte,RO,,11,,,,2022-01-23,4,1777225.0,301706.0,1586,6807,1,,,
Norte,RO,,11,,,,2022-01-24,4,1777225.0,303115.0,1409,6810,3,,,
Norte,RO,,11,,,,2022-01-25,4,1777225.0,305566.0,2451,6814,4,,,
Norte,RO,,11,,,,2022-01-26,4,1777225.0,307568.0,2002,6821,7,,,
Norte,RO,,11,,,,2022-01-27,4,1777225.0,309783.0,2215,6822,1,,,
Norte,RO,,11,,,,2022-01-28,4,1777225.0,312107.0,2324,6827,5,,,
Norte,RO,,11,,,,2022-01-29,4,1777225.0,314027.0,1920,6827,0,,,
Norte,RO,,11,,,,2022-01-30,5,1777225.0,316282.0,2255,6830,3,,,
Norte,RO,,11,,,,2022-01-31,5,1777225.0,318313.0,2031,6833,3,,,
Norte,RO,,11,,,,2022-02-01,5,1777225.0,320984.0,2671,6837,4,,,
Norte,RO,,11,,,,2022-02-02,5,1777225.0,323699.0,2715,6844,7,,,
Norte,RO,,11,,,,2022-02-03,5,1777225.0,326272.0,2573,6846,2,,,
Norte,RO,,11,,,,2022-02-04,5,1777225.0,329658.0,3386,6857,11,,,
Norte,RO,,11,,,,2022-02-05,5,1777225.0,331548.0,1890,6863,6,,,
Norte,RO,,11,,,,2022-02-06,6,1777225.0,333291.0,1743,6866,3,,,
Norte,RO,,11,,,,2022-02-07,6,1777225.0,335746.0,2455,6869,3,,,
Norte,RO,,11,,,,2022-02-08,6,1777225.0,338545.0,2799,6881,12,,,
Norte,RO,,11,,,,2022-02-09,6,1777225.0,341370.0,2825,6886,5,,,
Norte,RO,,11,,,,2022-02-10,6,1777225.0,343812.0,2442,6890,4,,,
Norte,RO,,11,,,,2022-02-11,6,1777225.0,346227.0,2415,6896,6,,,
Norte,RO,,11,,,,2022-02-12,6,1777225.0,347274.0,1047,6899,3,,,
Norte,RO,,11,,,,2022-02-13,7,1777225.0,348484.0,1210,6900,1,,,
