regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Norte,RO,,11,,,,2021-07-01,26,1777225.0,248173,566,6149,13,,,
Norte,RO,,11,,,,2021-07-02,26,1777225.0,248485,312,6170,21,,,
Norte,RO,,11,,,,2021-07-03,26,1777225.0,249496,1011,6172,2,,,
Norte,RO,,11,,,,2021-07-04,27,1777225.0,249547,51,6173,1,,,
Norte,RO,,11,,,,2021-07-05,27,1777225.0,252024,2477,6213,40,,,
Norte,RO,,11,,,,2021-07-06,27,1777225.0,251977,-47,6226,13,,,
Norte,RO,,11,,,,2021-07-07,27,1777225.0,251127,-850,6234,8,,,
Norte,RO,,11,,,,2021-07-08,27,1777225.0,251462,335,6243,9,,,
Norte,RO,,11,,,,2021-07-09,27,1777225.0,251839,377,6257,14,,,
Norte,RO,,11,,,,2021-07-10,27,1777225.0,252040,201,6267,10,,,
Norte,RO,,11,,,,2021-07-11,28,1777225.0,252075,35,6267,0,,,
Norte,RO,,11,,,,2021-07-12,28,1777225.0,252292,217,6278,11,,,
Norte,RO,,11,,,,2021-07-13,28,1777225.0,252839,547,6287,9,,,
Norte,RO,,11,,,,2021-07-14,28,1777225.0,253420,581,6290,3,,,
Norte,RO,,11,,,,2021-07-15,28,1777225.0,253640,220,6296,6,,,
Norte,RO,,11,,,,2021-07-16,28,1777225.0,254264,624,6304,8,,,
Norte,RO,,11,,,,2021-07-17,28,1777225.0,254387,123,6305,1,,,
Norte,RO,,11,,,,2021-07-18,29,1777225.0,254457,70,6306,1,,,
Norte,RO,,11,,,,2021-07-19,29,1777225.0,254557,100,6307,1,,,
Norte,RO,,11,,,,2021-07-20,29,1777225.0,255008,451,6310,3,,,
Norte,RO,,11,,,,2021-07-21,29,1777225.0,255294,286,6322,12,,,
Norte,RO,,11,,,,2021-07-22,29,1777225.0,255454,160,6326,4,,,
Norte,RO,,11,,,,2021-07-23,29,1777225.0,255724,270,6331,5,,,
Norte,RO,,11,,,,2021-07-24,29,1777225.0,255914,190,6337,6,,,
Norte,RO,,11,,,,2021-07-25,30,1777225.0,256044,130,6338,1,,,
Norte,RO,,11,,,,2021-07-26,30,1777225.0,256357,313,6336,-2,,,
Norte,RO,,11,,,,2021-07-27,30,1777225.0,257053,696,6345,9,,,
Norte,RO,,11,,,,2021-07-28,30,1777225.0,257250,197,6355,10,,,
Norte,RO,,11,,,,2021-07-29,30,1777225.0,257513,263,6365,10,,,
Norte,RO,,11,,,,2021-07-30,30,1777225.0,257769,256,6368,3,,,
Norte,RO,,11,,,,2021-07-31,30,1777225.0,257845,76,6368,0,,,
Norte,RO,,11,,,,2021-08-01,31,1777225.0,257999,154,6368,0,,,
Norte,RO,,11,,,,2021-08-02,31,1777225.0,258143,144,6376,8,,,
Norte,RO,,11,,,,2021-08-03,31,1777225.0,258508,365,6384,8,,,
Norte,RO,,11,,,,2021-08-04,31,1777225.0,258792,284,6385,1,,,
Norte,RO,,11,,,,2021-08-05,31,1777225.0,259013,221,6391,6,,,
Norte,RO,,11,,,,2021-08-06,31,1777225.0,259293,280,6398,7,,,
Norte,RO,,11,,,,2021-08-07,31,1777225.0,259537,244,6399,1,,,
Norte,RO,,11,,,,2021-08-08,32,1777225.0,259559,22,6399,0,,,
