regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Norte,RO,,11,,,,2020-08-01,31,1777225.0,39504,512,881,9,,,
Norte,RO,,11,,,,2020-08-02,32,1777225.0,39893,389,884,3,,,
Norte,RO,,11,,,,2020-08-03,32,1777225.0,40016,123,888,4,,,
Norte,RO,,11,,,,2020-08-04,32,1777225.0,41239,1223,898,10,,,
Norte,RO,,11,,,,2020-08-05,32,1777225.0,42020,781,918,20,,,
Norte,RO,,11,,,,2020-08-06,32,1777225.0,42725,705,923,5,,,
Norte,RO,,11,,,,2020-08-07,32,1777225.0,43390,665,934,11,,,
Norte,RO,,11,,,,2020-08-08,32,1777225.0,43866,476,940,6,,,
Norte,RO,,11,,,,2020-08-09,33,1777225.0,44010,144,943,3,,,
Norte,RO,,11,,,,2020-08-10,33,1777225.0,44372,362,944,1,,,
Norte,RO,,11,,,,2020-08-11,33,1777225.0,45468,1096,966,22,,,
Norte,RO,,11,,,,2020-08-12,33,1777225.0,46061,593,981,15,,,
Norte,RO,,11,,,,2020-08-13,33,1777225.0,46676,615,993,12,,,
Norte,RO,,11,,,,2020-08-14,33,1777225.0,47288,612,1001,8,,,
Norte,RO,,11,,,,2020-08-15,33,1777225.0,47652,364,1012,11,,,
Norte,RO,,11,,,,2020-08-16,34,1777225.0,47837,185,1013,1,,,
Norte,RO,,11,,,,2020-08-17,34,1777225.0,48232,395,1017,4,,,
Norte,RO,,11,,,,2020-08-18,34,1777225.0,48923,691,1026,9,,,
Norte,RO,,11,,,,2020-08-19,34,1777225.0,49721,798,1037,11,,,
Norte,RO,,11,,,,2020-08-20,34,1777225.0,50147,426,1045,8,,,
Norte,RO,,11,,,,2020-08-21,34,1777225.0,50514,367,1050,5,,,
Norte,RO,,11,,,,2020-08-22,34,1777225.0,50995,481,1061,11,,,
Norte,RO,,11,,,,2020-08-23,35,1777225.0,51421,426,1065,4,,,
Norte,RO,,11,,,,2020-08-24,35,1777225.0,51791,370,1073,8,,,
Norte,RO,,11,,,,2020-08-25,35,1777225.0,52514,723,1087,14,,,
Norte,RO,,11,,,,2020-08-26,35,1777225.0,53119,605,1100,13,,,
Norte,RO,,11,,,,2020-08-27,35,1777225.0,53805,686,1109,9,,,
Norte,RO,,11,,,,2020-08-28,35,1777225.0,54205,400,1114,5,,,
Norte,RO,,11,,,,2020-08-29,35,1777225.0,54496,291,1125,11,,,
Norte,RO,,11,,,,2020-08-30,36,1777225.0,54679,183,1129,4,,,
Norte,RO,,11,,,,2020-08-31,36,1777225.0,55153,474,1148,19,,,
Norte,RO,,11,,,,2020-09-01,36,1777225.0,55768,615,1155,7,,,
Norte,RO,,11,,,,2020-09-02,36,1777225.0,56411,643,1161,6,,,
Norte,RO,,11,,,,2020-09-03,36,1777225.0,56618,207,1165,4,,,
Norte,RO,,11,,,,2020-09-04,36,1777225.0,57352,734,1172,7,,,
Norte,RO,,11,,,,2020-09-05,36,1777225.0,57865,513,1180,8,,,
Norte,RO,,11,,,,2020-09-06,37,1777225.0,58066,201,1185,5,,,
Norte,RO,,11,,,,2020-09-07,37,1777225.0,58237,171,1187,2,,,
Norte,RO,,11,,,,2020-09-08,37,1777225.0,58559,322,1193,6,,,
Norte,RO,,11,,,,2020-09-09,37,1777225.0,59196,637,1207,14,,,
Norte,RO,,11,,,,2020-09-10,37,1777225.0,59620,424,1217,10,,,
Norte,RO,,11,,,,2020-09-11,37,1777225.0,60038,418,1231,14,,,
Norte,RO,,11,,,,2020-09-12,37,1777225.0,60362,324,1240,9,,,
Norte,RO,,11,,,,2020-09-13,38,1777225.0,60484,122,1246,6,,,
Norte,RO,,11,,,,2020-09-14,38,1777225.0,60746,262,1253,7,,,
Norte,RO,,11,,,,2020-09-15,38,1777225.0,61260,514,1269,16,,,
Norte,RO,,11,,,,2020-09-16,38,1777225.0,61619,359,1277,8,,,
Norte,RO,,11,,,,2020-09-17,38,1777225.0,62158,539,1289,12,,,
Norte,RO,,11,,,,2020-09-18,38,1777225.0,62495,337,1294,5,,,
Norte,RO,,11,,,,2020-09-19,38,1777225.0,62697,202,1297,3,,,
Norte,RO,,11,,,,2020-09-20,39,1777225.0,62863,166,1300,3,,,
Norte,RO,,11,,,,2020-09-21,39,1777225.0,63267,404,1305,5,,,
Norte,RO,,11,,,,2020-09-22,39,1777225.0,63781,514,1312,7,,,
Norte,RO,,11,,,,2020-09-23,39,1777225.0,64306,525,1320,8,,,
Norte,RO,,11,,,,2020-09-24,39,1777225.0,64481,175,1323,3,,,
Norte,RO,,11,,,,2020-09-25,39,1777225.0,64732,251,1328,5,,,
Norte,RO,,11,,,,2020-09-26,39,1777225.0,64923,191,1333,5,,,
Norte,RO,,11,,,,2020-09-27,40,1777225.0,65208,285,1336,3,,,
Norte,RO,,11,,,,2020-09-28,40,1777225.0,65386,178,1340,4,,,
Norte,RO,,11,,,,2020-09-29,40,1777225.0,65673,287,1351,11,,,
Norte,RO,,11,,,,2020-09-30,40,1777225.0,65911,238,1357,6,,,
Norte,RO,,11,,,,2020-10-01,40,1777225.0,66261,350,1367,10,,,
Norte,RO,,11,,,,2020-10-02,40,1777225.0,66473,212,1368,1,,,
Norte,RO,,11,,,,2020-10-03,40,1777225.0,66576,103,1371,3,,,
Norte,RO,,11,,,,2020-10-04,41,1777225.0,66623,47,1371,0,,,
Norte,RO,,11,,,,2020-10-05,41,1777225.0,66783,160,1375,4,,,
Norte,RO,,11,,,,2020-10-06,41,1777225.0,67014,231,1384,9,,,
Norte,RO,,11,,,,2020-10-07,41,1777225.0,67181,167,1385,1,,,
Norte,RO,,11,,,,2020-10-08,41,1777225.0,67323,142,1390,5,,,
Norte,RO,,11,,,,2020-10-09,41,1777225.0,67479,156,1392,2,,,
Norte,RO,,11,,,,2020-10-10,41,1777225.0,67812,333,1396,4,,,
Norte,RO,,11,,,,2020-10-11,42,1777225.0,67937,125,1398,2,,,
Norte,RO,,11,,,,2020-10-12,42,1777225.0,67973,36,1398,0,,,
Norte,RO,,11,,,,2020-10-13,42,1777225.0,68126,153,1406,8,,,
